State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Physical_Therapy,Occupational_Therapy,Speech_Pathology,Medical_Social,Home_Health_Aide,Date Certified,star_rating,timely_care,drug_use_training,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot).,improved_breathing,hosp_admission_rate,unplanned_er_care,readmitted_cases
AL,17009,ALACARE HOME HEALTH & HOSPICE,2970 LORNA ROAD,BIRMINGHAM,35216,2058242680,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,1/18/1973,,91.1,99.2,85,80.1,19.6,10.4,Worse Than Expected
AL,17013,GENTIVA HEALTH SERVICES,1239 RUCKER BLVD,ENTERPRISE,36330,3343470234,Proprietary,TRUE,TRUE,FALSE,FALSE,TRUE,7/24/1975,,97.8,98.1,83.5,79.5,17.7,13.2,Same As Expected
AL,17014,AMEDISYS HOME HEALTH,68278 MAIN STREET,BLOUNTSVILLE,35031,2054294919,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,9/4/1975,4,96.6,97.9,91.8,85.7,15.8,10.1,Same As Expected
AL,17016,SOUTHEAST ALABAMA HOMECARE,804 GLOVER AVENUE,ENTERPRISE,36330,3347940591,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,6/9/1976,5,99.5,100,80.1,88,18.1,13.1,Same As Expected
AL,17018,KINDRED AT HOME,"3225 RAINBOW STREET, SUITE 256",RAINBOW CITY,35906,2564421138,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,1/1/1977,4,95.8,98.7,87,82.8,21.5,11.5,Worse Than Expected
AL,17020,AMEDISYS HOME HEALTH CARE,"273 AZALEA ROAD, SUITE 204, BLDG 2",MOBILE,36609,2513800492,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/23/1977,,94.4,99.6,89.9,91.1,17.2,10.4,Same As Expected
AL,17024,SOUTHEAST ALABAMA HOMECARE,"810 HEDSTROM DRIVE, SUITE ONE",DOTHAN,36301,3347940591,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,6/1/1978,5,98,99.9,80.5,84.5,14.3,12.2,Same As Expected
AL,17025,SAAD HEALTHCARE,"1515 UNIVERSITY BLVD, SOUTH",MOBILE,36609,2513439600,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,12/28/1978,2,92.6,97.3,50.1,66.3,20.2,9.5,Worse Than Expected
AL,17026,KINDRED AT HOME,"2200 RIVERCHASE PARKWAY, BUILDING 700",BIRMINGHAM,35244,2057397800,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,3/29/1979,2.5,81.3,97.4,74.5,70.9,20.1,10.3,Same As Expected
AL,17027,DECATUR MORGAN HOMECARE,"2708 HIGHWAY 31 SOUTH, SUITE B",DECATUR,35603,2563504182,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,7/25/1979,4.5,98.4,99.9,84.3,84.1,16.5,13,Same As Expected
AL,17028,CENTRAL ALABAMA HOMECARE,345 WALKER CHAPEL PLAZA,FULTONDALE,35068,2057837900,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,6/1/1979,3,89.1,97.2,82.4,74,17.8,10.1,Same As Expected
AL,17034,COMFORT CARE COASTAL HOME HEALTH,1390 NORTH MCKENZIE STREET,FAIRHOPE,36532,2516214431,Non - Profit Religious,TRUE,TRUE,TRUE,FALSE,TRUE,5/26/1981,3,95.5,98.5,81.1,59.8,15.6,10.8,Same As Expected
AL,17035,INFIRMARY HOMECARE,1142-A MONTLIMAR DRIVE,MOBILE,36609,2514503300,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,8/20/1981,4.5,98,99.8,76.8,87.5,18.4,9.3,Worse Than Expected
AL,17037,BAPTIST HOME HEALTH,"300 INTERSTATE PARK DRIVE, SUITE 312",MONTGOMERY,36109,3343955100,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,10/1/1981,4,94.6,99.5,77.1,83.7,17.9,13,Same As Expected
AL,17039,AMEDISYS HOME HEALTH OF HUNTSVILLE,"250 CHATEAU DRIVE SW, SUITE 245",HUNTSVILLE,35801,2568851665,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,8/5/1982,3.5,93.5,99.7,78.2,77.4,21,14.8,Same As Expected
AL,17041,ALABAMA HOMECARE,"100 CENTERVIEW DRIVE, SUITE 260",VESTAVIA HILLS,35216,2059793180,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,8/4/1982,4,97.2,99.7,58.4,86.1,9.7,23.9,Same As Expected
AL,17048,KINDRED AT HOME,101 NORTH LINCOLN STREET,GENEVA,36340,3346843919,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,12/8/1983,4,99.1,97.7,79.8,85.7,17.6,13.6,Worse Than Expected
AL,17050,SPECTRUM HOME HEALTH AGENCY,"1310 PULASKI PIKE, UNIT A",HUNTSVILLE,35816,2565394457,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,10/19/1983,2.5,91,95.5,76.7,60.3,20.3,12,Same As Expected
AL,17051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 110",HOMEWOOD,35209,2058680147,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,6/1/1984,3.5,93.2,99,89.3,85.3,17,12.7,Same As Expected
